CODE,County,Conventional Households,Mains Electricity,UNIT_AREA,UNIT_PERIM,COUNT,COUNTY_NAM,TOTAL_POP,POP_DENSIT,geometry,ISO_Code,Latitude,Longitude,CHME,PPH
1,Mombasa,376295,85.9,0.023356,0.967209,34,Mombasa,1208333,517.3544271,,KE-28,-4.0435,40.0,323237,3.0
2,Kwale,172802,31.5,0.75834,4.37879,83,Kwale,866820,11.43049292,,KE-19,-3.9737,39.1521,54433,5.0
3,Kilifi,297990,38.5,0.391775,3.909102,107,Kilifi,1453787,37.10770212,,KE-14,-3.5107,39.9093,114726,5.0
4,Tana River,66984,25.6,3.185316,10.410747,92,Tana River,315943,0.9918733338,,KE-40,-1.65,40.05,17148,5.0
