code,county,area,date,time,places,file
,NAIROBI,"KAHAWA WEST , GITHURAI 44",Monday 27.01.2025,9.00  A.M. – 5.00 P.M .,"['Zimmerman', 'Parts of Githurai 44', 'Kahawa Baracks', 'Part of Kenyatta University', 'Part of Kahawa West', 'Farmers  Choice  & adjacent customers .']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,NAIROBI,NAIROBI WEST,Monday 27.01.2025,9.00 A.M. – 5.00 P.M.,"['Part of Nairobi West', 'Naimey Rd', 'ICC  Church', 'Ghandi Avenue', 'Nairobi West', 'Hosp', 'Kodi Rd', 'Swara Crescent', 'PAA Crescent', 'Kifaru Crescent', 'Sumba Rd', 'Msufu Rd', 'Rio Htl', 'Part of Muhoho Avenue', 'Ole Sangale Rd', 'Madaraka Est', 'Gakuri Akure Rd', 'Strathmore University', 'Keri Rd', 'Nyayo Stadium', 'Masaba Rd', 'Part of Bunyala Rd', 'Siwaka Est &  adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,NAIROBI,PART OF RUARAKA,Tuesday 28.01.2025,9.00  A.M. – 5.00 P.M .,"['Kasarani Stadium', 'Regional Centre of Mapping of Resources', 'Little Sisters', 'Safaricom Data Centre', 'Conso /Central Glass Company & adjacent customers .']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,NAIROBI,PART OF KASARANI,Thursday 30.01.2025,9.00A.M . – 5.00 P.M .,"['Sunton', 'Linet Academy', 'Clay City Police', 'Part of Garage', 'Part of Majimazuri', 'Aberdare', 'Mukinduri  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,NAIROBI,"PART OF LANGATA, PART OF KAREN",Tuesday 28. 01.2025,9.00 A.M. – 5.00 P.M.,"['St Thomas Seminary', 'Magadi Rd', 'Bogani East Rd', 'Park View', 'Simba Hill', 'Kisembe', 'Safe Park', 'Kipevu', 'Banda', 'Ndorobo', 'Catholic University', 'KWS', 'Langata Barracks', 'Jambo Est', 'Phenom Est', 'Phenom park', 'Doroty Park', 'Daisy', 'Park', 'Carnivore', 'Muiri Lane', 'Cale', 'Samaj', 'Shree Cutch', 'Westpark Police Line', 'GK Prisons', 'Ngei 1 & 2', 'Otiende Est', 'Onyonka', 'Royal Park', 'Akiba Langata', 'Southlands', 'Uhuru Gardens', 'Park Est', 'Royal Park', 'KMA NHC Langata', 'Karen C', 'Pri & Sec', 'Hill Crest', 'Fair Acres', 'Light Academy', 'Silanga Rd', 'Marist University', 'Kuwinda Est', 'Mukinduri', 'Murishu', 'Mokoyet East  & West', 'Langata North  Rd', 'Academy Rd', 'Kufuga Rd', 'Langata South Rd', 'Bogani Rd', 'Ndovu Rd', 'Ndalat', 'JKUAT', 'Kasuku Rd', 'Silanga Rd', 'Muiri Rd', 'CITAM Karen', 'Galleria Shopping Mall', 'Water Mark', 'Nyumba Moja Rd & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,NAIROBI,PART OF KIBERA,Tuesday 28. 01.2025,9.00 A.M. – 5.00 P.M.,"['Soweto Academy', 'Olympic Est', 'Olympic Pri  & Sec', 'Gatwekera', 'SOFCO', 'Karanja', 'Rd', 'Fort Jesus', 'Makina', 'Kibera Law Court', 'Raila Est  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,NAIROBI,"PART OF DAGORETTI RD , PART OF KIKUYU RD",Wednesday 29. 01.2025,9.00 A.M. – 5.00 P.M.,"['Dagoretti Children’s Home', 'Dagoretti Mkt', 'Gitiba Pri', 'Kirigu Pri', 'Gachui', 'Waithaka', 'Shopping Centre', 'Part of Kikuyu Rd', 'Part of Dagoretti Rd', 'Kirigu Cemetery', 'Patheneous  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,NAIROBI,"PART OF NAIVASHA RD, KINGARA RD, HATHERU RD, WANYEE RD",Thursday  30.01.2025,9.00 A.M. – 5.00 P.M.,"['Part of Naivasha Rd', 'Melchizedek Hosp', 'Corner Heights', 'Makena 47', 'Apartments', 'Part of Riara Rd', 'Riara Close', 'Kingara Rd', 'Kingara Close', 'Mbaazi', 'Close', 'Part of Mbaazi  Avenue', 'Merlin Court', 'MAC Apartments', 'Part of Gitanga', 'Rd', 'Part of Jacaranda Avenue', 'EBRU TV Stn', 'Part of James Gichuru Rd', 'Rubis', 'Petrol Stn James Gichuru', 'Whole of  Hatheru Rd', 'Bamboo Lane', 'Part of Dagoretti', 'Corner', 'Wanyee Rd', 'Deliverance Stage', 'Braeburn Sch', 'Rusinga Sch', 'Kawangware Pri', 'Kawangware  Coast', 'Part of Gitanga  Rd', 'Kawangware', 'Musalaba', 'Muslim Rd', 'Satellite Est', 'Kinyanjui Rd', 'Part of Kabiria Rd', 'Kinyanjui', 'Technical', 'Urban Oasis', 'Mulberry Apartments  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,NAROK,"ROTIAN, KISIRIRI,  TIPIS",Wednesday 29.01.2025,8.00 A .M.- 4.00 P.M.,"['Motonyi', 'Rotian', 'Kisiriri', 'Naisoya', 'Enengetia', 'Enabelbel', 'Olokirkirai', 'Tipis', 'Oloropil', 'Topoti', 'Empatpat', 'Olchorro  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,NAROK,NAROK TOWN,Thursday 30.01.2025,8.00 A .M. - 4.00 P.M.,"['Narok Town', 'Majengo', 'Fanaka', 'London', 'Adams Est  & adjacent customers .']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,UASIN GISHU,"JUA KALI MARKET, CEMTECH FACTORY",Sunday 26.01.2025,9.30 A.M. – 5.00.P.M.,"['Kampi Kuku', 'Kamoret', 'Jua Kali Mkt', 'Cemtech (Simba Cement) Fact  & adjacent', 'customers .']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,MERU,"EMBORI, KISIMA, TIMAU, KIAMBOGO",Monday  27.01.2025,9.00 A.M . – 5.00 P .M.,"['Embori Flowers', 'Uhuru Flowers', 'Kisima Flowers', 'Pj Dave Ltd', 'Timaflor', 'AAA', 'Growers', 'Kisima Sec', 'Kongoni Farm', 'Mbuju Pri', 'Thamba Ngombe', 'Tambuzi', 'Whole of Timau  Mkt', 'Kiambogo  Pri', 'Ngusishi', 'Siraji', 'Nelion', 'Oldonyo', 'Timaflour', 'Farms', 'Ethi', 'Ngarendare  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,ISIOLO,"MERTI, BISAN BILIQO, BULESA",Thursday 30.01.2025,8.00A .M. - 3.00 P.M.,"['Merti Town', 'Merti Pry', 'Macci Boys', 'Bulesa Dispensary', 'Bisan Biliqo Primary  &', 'adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,NYERI,"SAGANA STATE LODGE, IRURI MKT",Tuesday  28.01.2025,9.00 A.M . – 5.00 P .M.,"['Sagana State Lodge', 'Iruri Mkt', 'Kiganjo Fisheries', 'Karandi Mkt', 'Mutaga Mkt', 'Sagana Village', 'Iganjo  village', 'Safaricom Boosters', 'Airtel Boosters  & adjacent', 'customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,NYERI,"KARUNDAS, MBIRIRI",Tuesday 28.01.2025,8.00 A.M . – 5.00 P .M.,"['Muthinga', 'Gichira', 'Kaigonde', 'Kangubiri', 'Mungaria', 'Kangaita', 'Gaki', 'Gachima', 'Kiawaithanji', 'Kiambuiri  & adjacent customers.']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
,NYERI,"MUTHINGA, KANGUBIRI",Tuesday  28.01.2025,8.00 A.M – 5.00 P .M.,"['Karundas', 'Maragima', 'Gatei', 'Mbiriri', 'Mapema', 'Samaria', 'Thegu Resort', 'Tagwa  &', 'adjacent customers.', 'For further information', 'contact', 'the nearest Kenya Power office', 'Interruption n otices may be viewed at', 'www.kplc.co.ke', 'Interruption of', 'Electricity Supply', 'Notice is hereby given under Rule 27 of the Electric Power Rules', 'That the electricity supply will be interrupted as here under:', '(It is necessary to interrupt supply periodically in order to facilitate', 'maintenance and upgrade of power lines to the network; to connect new', 'customers or to replace power lines during road construction', 'etc.)']",01JJ9CFR02CF4Z1CN8Y3SATXKG.pdf
