county,area,date,time,places,file,code,old_date,clean_date,time_clean,start_str,end_str,start_dt,end_dt,duration_hours,day_of_week
kiambu,KAMITI ROAD,2025-02-08,9.00 A.M. - 5.00 P.M.,"['Mugumo', 'Fig Tree', 'St. Anthony', 'Kiu River', 'Kamiti Ridge', 'Marion Sch & adjacent', 'customers .', 'COAST REGION']",01JJV2BMR0H8MRCAD42Y1KX5FZ.pdf,022,Saturday 08.02. 2025,Saturday 08.02.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Saturday
mombasa,PARTS OF PORT REITZ,2025-02-06,9.00  A.M. – 5.00 P.M.,"['Chaani', 'Police Station', 'St. Elizabeth', 'Coast General Changamwe & adjacent', 'customers .']",01JJV2BMR0H8MRCAD42Y1KX5FZ.pdf,001,Thursday 06.02. 2025,Thursday 06.02.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Thursday
kilifi,VIPINGO AND PARTS OF KILIFI,2025-02-02,9.00  A.M. – 5.00 P.M.,"['Bamburi/North Coast Ex Kilifi', 'Mnarani', 'Kilifi Plantation', 'Takaungu', 'Vipingo', 'Ridge', 'Kadzinuni', 'Shauri Moyo', 'Chonyi', 'Jaribuni', 'Chasimba', 'Kolongoni', 'Mwarakaya', 'Pwani university', 'Konjora', 'Kakanjuni', 'Matano Manne', 'Lango Baya', 'Malanga', 'Ganze', 'Palakumi', 'Mtondia', 'Magorani', 'Ngerenya', 'Timboni Kituoni', 'Tiger Packaging', 'Flamboyant L td', 'Vipingo Industries & adjacent customers .']",01JJV2BMR0H8MRCAD42Y1KX5FZ.pdf,003,Sunday 02.02.2025,Sunday 02.02.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Sunday
kilifi,"KASEMENI , PARTS OF MAZERAS",2025-02-06,9.00 A.M. - 5.00 P.M.,"['Kasemeni Slaughter', 'Uwanja wa Ndege', 'Blue Jay', 'Vikolani', 'Kiphino', 'P.N.', 'Mashru', 'Kwale County Gov', 'Bofu', 'Miyani', 'Dzombo & adjacent customers .', 'For further information', 'contact', 'the nearest Kenya Power office', 'Interruption n otices may be viewed at', 'www.kplc.co.ke', 'Power Maintenance Notice', 'Notice is hereby given under R ule 27 of the Electric Power Rules', 'That the electricity supply will be interrupted as here under:', '(It is necessary to interrupt supply periodically in order to facilitate maintenance and', 'upgrade of power lines to the network; to connect new customers or to replace power', 'lines during road construction', 'etc.)']",01JJV2BMR0H8MRCAD42Y1KX5FZ.pdf,003,Thursday 06.02. 2025,Thursday 06.02.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Thursday
nairobi,PART OF KILELESHWA,2025-09-23,9.00 A.M. – 5.00 P.M.,"['Githunguri Rd', 'Githunguri Close', 'Tabere Crescent', 'Kangundo Rd', 'Kuguru Close &', 'adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,047,Tuesday 23.09.2025,Tuesday 23.09.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Tuesday
nairobi,ZIWANI,2025-09-24,: 9.00 A.M. – 5.00 P.M.,"['Kinyanjui Street', 'Starehe Boys', 'Ziwani Health Clinic', 'Ziwani', 'Kariokor Cemetery &', 'adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,047,Wednesday 24.09.2025,Wednesday 24.09.2025,: 9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Wednesday
nairobi,KAMKUNJI,2025-09-25,9.00 A.M. – 5.00 P.M.,"['Jua Kali', 'Shauri Moyo', 'Muthurwa Pri', 'Parts of Gikomba', 'Gikomba Social Hall', 'DO’s', 'Office Gikomba', 'Family Bank Gikomba', 'Co -op Bank Gikomba', 'BBS Mall', 'Shell', 'Petrol Stn', 'Ismariot Hotel', 'Nomad Hotel', 'Eastleigh High Sch', 'Pumwani Boys', 'Starehe Boys Center Part of  General Waruinge & adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,047,Thursday 25.09.2025,Thursday 25.09.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Thursday
nairobi,MWIHOKO,2025-09-26,9.00 A.M. – 5.00 P.M.,"['Kinyanjui Street', 'Starehe Boys', 'Ziwani Health Clinic', 'Ziwani', 'Kariokor Cemetery &', 'adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,047,Friday 26.09.2025,Friday 26.09.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Friday
nairobi,PART OF RIVERSIDE,2025-09-27,9.00 A.M. – 5.00 P.M.,"['Part of Sports Rd', 'Raphta Rd', 'David Osieli Rd', 'Church Rd', 'Part of Mvuli  Rd', 'East', 'Church Rd', 'Fox Close', 'Part of Ring Rd Westlands', 'Lantana Rd', 'Mkoko Close', 'St.', 'Michaels Rd', 'Ibis Hotel', 'Rehema House', 'Riverside Gardens', 'Kolobot Rd', 'Part of', 'Riverside Drive', 'Chiromo UON Hostels', 'Part of State House Rd', 'Taj View Apts', 'Arboretum Rd', 'Confucius Institute', 'Prime Bank', 'Delta Riverside', 'Dusit D 2', 'Qwetu', 'Hostels', 'UON Chiromo Campus', 'Part of Waiyaki Way', 'Consolata Sch', 'ICEA', 'LIONS', 'GTC  Towers & adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,047,Saturday 27.09.2025,Saturday 27.09.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Saturday
machakos,KANGUNDO ROAD,2025-09-23,9.00 A.M. – 5.00 P.M.,"['College Rd', 'Miwani', 'Manza', 'Sweet Waters', 'Scott', 'Kusyomuomo', 'Mumbuni', 'Kathiani', 'Ngoleni', 'Kaviani', 'Nzaikoni', 'Kwa Musyoka', 'Tumba', 'Mutituni', 'Ng’eleni', 'Ivumbuni', 'Mua Kyasila', 'Ivovoani', 'Kivutini', 'Kaloleni', 'Ngelani', 'Kisekini', 'Thinu', 'Kamuthanga', 'Mitaboni', 'Miumbuni', 'Kenol', 'Masokani & adjacent customers.']",01K5H1P29K0ZC0XE3Q8RE2CWP1.pdf,016,Tuesday 23.09.2025,Tuesday 23.09.2025,9.00 AM- 5.00 PM,09:00 AM,05:00 PM,1900-01-01 09:00:00,1900-01-01 17:00:00,8.0,Tuesday
